Converted from gr_24x23.xyz

1104 atoms
1 atom types


0.62976 60.258047595321 xlo xhi # 
-0.7100 50.410000000000 ylo yhi # 
-20.00 20.0000000 zlo zhi

#original that wroked


#exact size of relaxed graphene in vmd
#0.936002 59.321999 xlo xhi
#1.340690 47.026798 ylo yhi

Masses

1 12.011
#2 1.008 #H
#2 3.016 #T


Atoms # atomic

344 1 31.973657907721 22.720000000000 0.000000000000
345 1 31.973657907721 24.140000000000 0.000000000000
346 1 33.203413981095 24.850000000000 0.000000000000
347 1 33.203413981095 26.270000000000 0.000000000000
348 1 34.433170054469 26.980000000000 0.000000000000
349 1 34.433170054469 28.400000000000 0.000000000000
350 1 35.662926127843 29.110000000000 0.000000000000
351 1 35.662926127843 30.530000000000 0.000000000000
352 1 36.892682201217 31.240000000000 0.000000000000
353 1 36.892682201217 32.660000000000 0.000000000000
354 1 38.122438274591 33.370000000000 0.000000000000
355 1 38.122438274591 34.790000000000 0.000000000000
356 1 39.352194347965 35.500000000000 0.000000000000
357 1 39.352194347965 36.920000000000 0.000000000000
358 1 40.581950421339 37.630000000000 0.000000000000
359 1 40.581950421339 39.050000000000 0.000000000000
360 1 41.811706494713 39.760000000000 0.000000000000
361 1 41.811706494713 41.180000000000 0.000000000000
362 1 43.041462568087 41.890000000000 0.000000000000
363 1 43.041462568087 43.310000000000 0.000000000000
364 1 44.271218641461 44.020000000000 0.000000000000
365 1 44.271218641461 45.440000000000 0.000000000000
366 1 45.500974714834 46.150000000000 0.000000000000
367 1 45.500974714834 47.570000000000 0.000000000000
368 1 46.730730788208 48.280000000000 0.000000000000
369 1 20.905853247356 0.710000000000 0.000000000000
370 1 22.135609320730 1.420000000000 0.000000000000
371 1 22.135609320730 2.840000000000 0.000000000000
372 1 23.365365394104 3.550000000000 0.000000000000
373 1 23.365365394104 4.970000000000 0.000000000000
374 1 24.595121467478 5.680000000000 0.000000000000
375 1 24.595121467478 7.100000000000 0.000000000000
376 1 25.824877540852 7.810000000000 0.000000000000
377 1 25.824877540852 9.230000000000 0.000000000000
378 1 27.054633614226 9.940000000000 0.000000000000
379 1 27.054633614226 11.360000000000 0.000000000000
380 1 28.284389687600 12.070000000000 0.000000000000
381 1 28.284389687600 13.490000000000 0.000000000000
382 1 29.514145760974 14.200000000000 0.000000000000
383 1 29.514145760974 15.620000000000 0.000000000000
384 1 30.743901834348 16.330000000000 0.000000000000
385 1 30.743901834348 17.750000000000 0.000000000000
386 1 31.973657907721 18.460000000000 0.000000000000
387 1 31.973657907721 19.880000000000 0.000000000000
388 1 33.203413981095 20.590000000000 0.000000000000
389 1 33.203413981095 22.010000000000 0.000000000000
390 1 34.433170054469 22.720000000000 0.000000000000
391 1 34.433170054469 24.140000000000 0.000000000000
392 1 35.662926127843 24.850000000000 0.000000000000
393 1 35.662926127843 26.270000000000 0.000000000000
394 1 36.892682201217 26.980000000000 0.000000000000
395 1 36.892682201217 28.400000000000 0.000000000000
396 1 38.122438274591 29.110000000000 0.000000000000
397 1 38.122438274591 30.530000000000 0.000000000000
398 1 39.352194347965 31.240000000000 0.000000000000
399 1 39.352194347965 32.660000000000 0.000000000000
400 1 40.581950421339 33.370000000000 0.000000000000
401 1 40.581950421339 34.790000000000 0.000000000000
402 1 41.811706494713 35.500000000000 0.000000000000
403 1 41.811706494713 36.920000000000 0.000000000000
404 1 43.041462568087 37.630000000000 0.000000000000
405 1 43.041462568087 39.050000000000 0.000000000000
406 1 44.271218641461 39.760000000000 0.000000000000
407 1 44.271218641461 41.180000000000 0.000000000000
408 1 45.500974714834 41.890000000000 0.000000000000
409 1 45.500974714834 43.310000000000 0.000000000000
410 1 46.730730788208 44.020000000000 0.000000000000
411 1 46.730730788208 45.440000000000 0.000000000000
412 1 47.960486861582 46.150000000000 0.000000000000
413 1 47.960486861582 47.570000000000 0.000000000000
414 1 49.190242934956 48.280000000000 0.000000000000
415 1 23.365365394104 0.710000000000 0.000000000000
416 1 24.595121467478 1.420000000000 0.000000000000
417 1 24.595121467478 2.840000000000 0.000000000000
418 1 25.824877540852 3.550000000000 0.000000000000
419 1 25.824877540852 4.970000000000 0.000000000000
420 1 27.054633614226 5.680000000000 0.000000000000
421 1 27.054633614226 7.100000000000 0.000000000000
422 1 28.284389687600 7.810000000000 0.000000000000
423 1 28.284389687600 9.230000000000 0.000000000000
424 1 29.514145760974 9.940000000000 0.000000000000
425 1 29.514145760974 11.360000000000 0.000000000000
426 1 30.743901834348 12.070000000000 0.000000000000
427 1 30.743901834348 13.490000000000 0.000000000000
428 1 31.973657907721 14.200000000000 0.000000000000
429 1 31.973657907721 15.620000000000 0.000000000000
430 1 33.203413981095 16.330000000000 0.000000000000
431 1 33.203413981095 17.750000000000 0.000000000000
432 1 34.433170054469 18.460000000000 0.000000000000
433 1 34.433170054469 19.880000000000 0.000000000000
434 1 35.662926127843 20.590000000000 0.000000000000
435 1 35.662926127843 22.010000000000 0.000000000000
436 1 36.892682201217 22.720000000000 0.000000000000
437 1 36.892682201217 24.140000000000 0.000000000000
438 1 38.122438274591 24.850000000000 0.000000000000
439 1 38.122438274591 26.270000000000 0.000000000000
440 1 39.352194347965 26.980000000000 0.000000000000
441 1 39.352194347965 28.400000000000 0.000000000000
442 1 40.581950421339 29.110000000000 0.000000000000
443 1 40.581950421339 30.530000000000 0.000000000000
444 1 41.811706494713 31.240000000000 0.000000000000
445 1 41.811706494713 32.660000000000 0.000000000000
446 1 43.041462568087 33.370000000000 0.000000000000
447 1 43.041462568087 34.790000000000 0.000000000000
448 1 44.271218641461 35.500000000000 0.000000000000
449 1 44.271218641461 36.920000000000 0.000000000000
450 1 45.500974714834 37.630000000000 0.000000000000
451 1 45.500974714834 39.050000000000 0.000000000000
452 1 46.730730788208 39.760000000000 0.000000000000
453 1 46.730730788208 41.180000000000 0.000000000000
454 1 47.960486861582 41.890000000000 0.000000000000
455 1 47.960486861582 43.310000000000 0.000000000000
456 1 49.190242934956 44.020000000000 0.000000000000
457 1 49.190242934956 45.440000000000 0.000000000000
458 1 50.419999008330 46.150000000000 0.000000000000
459 1 50.419999008330 47.570000000000 0.000000000000
460 1 51.649755081704 48.280000000000 0.000000000000
461 1 25.824877540852 0.710000000000 0.000000000000
462 1 27.054633614226 1.420000000000 0.000000000000
463 1 27.054633614226 2.840000000000 0.000000000000
464 1 28.284389687600 3.550000000000 0.000000000000
465 1 28.284389687600 4.970000000000 0.000000000000
466 1 29.514145760974 5.680000000000 0.000000000000
467 1 29.514145760974 7.100000000000 0.000000000000
468 1 30.743901834348 7.810000000000 0.000000000000
469 1 30.743901834348 9.230000000000 0.000000000000
470 1 31.973657907721 9.940000000000 0.000000000000
471 1 31.973657907721 11.360000000000 0.000000000000
472 1 33.203413981095 12.070000000000 0.000000000000
